STATION,ID,ELEV,LATITUDE,LONGITUDE,COUNTY,OPERATOR AGENCY
YGNACIO VALLEY FIRE,YGF,83,37.938,-122.028,CONTRA COSTA,Contra Costa County
CALAVERAS COTTAGE,CCT,822,37.488319,-121.820786,SANTA CLARA,San Francisco PUC
SAN ANTONIO RESERVOIR NEAR SUNOL,SNV,498,37.577229,-121.845818,ALAMEDA,San Francisco PUC
SAN JOSE (ALERT),SJE,58,37.362,-121.927002,SANTA CLARA,Santa Clara County
CAHILL RIDGE,CRI,1044,37.510201,-122.374001,SAN MATEO,San Francisco PUC
PILARCITOS DAM,PLD,700,37.548,-122.421997,SAN MATEO,San Francisco PUC
NORTH SAN ANDREAS,NSN,617,37.612,-122.443001,SAN MATEO,San Francisco PUC
LOWER CRYSTAL SPRINGS,LCS,424,37.532501,-122.362999,SAN MATEO,San Francisco PUC
CRYSTAL SPRINGS COTTAGE,CSC,343,37.495998,-122.329002,SAN MATEO,San Francisco PUC
DANVILLE LIBRARY,DVB,364,37.820801,-121.995598,CONTRA COSTA,Contra Costa County
SAN FRANCISCO,SFN,150,37.770557,-122.426941,SAN FRANCISCO,National Weather Service
RICHMOND CITY HALL,RHL,55,37.936901,-122.342697,CONTRA COSTA,Contra Costa County
SAN LEANDRO BAY,SLE,10,37.700001,-122.217003,ALAMEDA,Alameda County
GOLDEN GATE,GGT,0,37.810001,-122.473999,SAN FRANCISCO,National Weather Service
BEN LOMOND (CDF),BLO,2630,37.132,-122.169998,SANTA CRUZ,CA Dept of Forestry and Fire Protection
SCHULTIES RD,SCH,1400,37.132999,-121.969002,SANTA CRUZ,Santa Cruz County
BOULDER CREEK,BDC,800,37.141998,-122.163002,SANTA CRUZ,Santa Cruz County
BEN LOMOND,BLN,365,37.092999,-122.074997,SANTA CRUZ,Santa Cruz County
SANTA RITA,SRI,5000,36.348,-120.598,SAN BENITO,CA Dept of Forestry and Fire Protection
HERNANDEZ,HDZ,3752,36.382999,-120.853996,SAN BENITO,CA Dept of Forestry and Fire Protection
PAJARO RIVER AT CHITTENDEN,CHT,82,36.90023,-121.597725,SANTA CRUZ,USGS/DWR
SMITH MOUNTAIN,SMI,3920,36.083,-120.608002,MONTEREY,CA Dept of Water Resources/Operations and Maintenance
BLACK MOUNTAIN,BLM,3625,35.394718,-120.352501,SAN LUIS OBISPO,CA Dept of Water Resources/DFM-Hydro-SMN
PARKFIELD,PKF,1535,35.898998,-120.431999,MONTEREY,CA Dept of Forestry and Fire Protection
SANTA MARGARITA BOOSTER,SMB,1100,35.37389,120.637497,SAN LUIS OBISPO,CA Dept of Water Resources/DFM-Hydro-SMN
ARROYO SECO,ARY,980,36.23,-121.487999,MONTEREY,US Forest Service
PASO ROBLES AIRPORT,PSB,836,35.673054,-120.626114,SAN LUIS OBISPO,National Weather Service
SALINAS RIVER AT PASO ROBLES,PAS,700,35.628582,-120.684334,SAN LUIS OBISPO,USGS/DWR
FORT ORD #2,FO2,490,36.626999,-121.786003,MONTEREY,US Army
SALINAS RIVER NEAR BRADLEY,BRA,443,35.930244,-120.86879,MONTEREY,USGS/DWR
HASTINGS,HTG,1824,36.388,-121.551003,MONTEREY,CA Dept of Forestry and Fire Protection
MONTEREY AIRPORT,MTY,217,36.590557,-121.847504,MONTEREY,National Weather Service
CACHUMA LAKE,CCH,781,34.583,-119.980003,SANTA BARBARA,US Bureau of Reclamation
CHEESEBORO,CHE,1650,34.1847,-118.717201,VENTURA,National Park Service
TOPANGA RAWS,TPG,1600,34.136398,-118.605003,LOS ANGELES,Los Angeles County Fire Dept
ROSE VALLEY,ROV,3331,34.535999,-119.183998,VENTURA,CA Dept of Forestry and Fire Protection
SIMI VALLEY,SMV,914,34.291199,-118.7976,VENTURA,Ventura County
THOUSAND OAKS RAWS,TOK,795,34.209999,-118.870003,VENTURA,Ventura County Fire
PIRU,PIU,624,34.403999,-118.809998,VENTURA,Ventura County
PYRAMID LAKE VISITORS CENTER,PYL,100,34.66,-118.764198,LOS ANGELES,Ventura County Watershed Protection District
PIRU CANYON NEAR LAKE PIRU,PCQ,100,34.513332,-118.756699,LOS ANGELES,Ventura County Watershed Protection District
THOMPSON CREEK DAM,THP,1600,34.139,-117.709,LOS ANGELES,Los Angeles County
LIVE OAK CANYON - LIVE OAK DAM,LVO,1510,34.133999,-117.744003,LOS ANGELES,Los Angeles County
BEVERLY HILLS,BHL,1260,34.125,-118.419998,LOS ANGELES,Los Angeles County Fire Dept
LOS ANGELES / USC,USC,185,34.021667,-118.291389,LOS ANGELES,National Weather Service
BIG DALTON DAM,BDD,1587,34.169998,-117.807999,LOS ANGELES,Los Angeles County
SAN DIMAS DAM,SND,1350,34.153,-117.771004,LOS ANGELES,Los Angeles County
SAN DIMAS CK AT PUDDINGSTON DIVERSN,PUD,1130,34.120998,-117.781998,LOS ANGELES,Los Angeles County
WALNUT CREEK AT PUDDINGSTONE DAM,PDD,1030,34.091999,-117.806999,LOS ANGELES,Los Angeles County
WALNUT CREEK SB,WLN,520,34.074001,-117.874001,LOS ANGELES,Los Angeles County
SANTA FE,SAF,500,34.126099,-117.946404,LOS ANGELES,Los Angeles County Fire Dept
MORMON ROCK,MRN,3300,34.317001,-117.501999,SAN BERNARDINO,US Forest Service
DEER CREEK DAM,DEC,2320,34.168999,-117.501999,SAN BERNARDINO,San Bernardino County
DAY CANYON,DYC,2240,34.167999,-117.537003,SAN BERNARDINO,San Bernardino County
DEVORE,DEV,2070,34.221111,-117.404442,SAN BERNARDINO,CA Dept of Forestry and Fire Protection
GLEN HELEN REGIONAL PARK,GLH,2040,34.209,-117.404999,SAN BERNARDINO,San Bernardino County
ARROWHEAD SPRINGS HOTEL,ARS,2000,34.183998,-117.264,SAN BERNARDINO,San Bernardino County
PERRIS,PRR,1600,33.858002,-117.182999,RIVERSIDE,CA Dept of Water Resources/O&M Southern Field Division
CAMP ANGELUS,CAG,5780,34.150002,-116.977997,SAN BERNARDINO,San Bernardino County
LYTLE CREEK,LYC,2792,34.234001,-117.480003,SAN BERNARDINO,US Forest Service
CITY CREEK RANGER STATION,CKC,2610,34.186001,-117.181,SAN BERNARDINO,San Bernardino County
SAN BERNARDINO COUNTY YARD,SCY,1042,34.104,-117.267998,SAN BERNARDINO,San Bernardino County
RIVERSIDE AIRPORT,RVE,827,33.951946,-117.444168,RIVERSIDE,National Weather Service
OAK GROVE,OKG,2752,33.393002,-116.794998,SAN DIEGO,US Forest Service
TALEGA,TAL,1203,33.474998,-117.487,SAN DIEGO,Camp Pendleton Fire Dept
JULIAN,JUL,4240,33.076,-116.591003,SAN DIEGO,CA Dept of Forestry and Fire Protection
DESCANSO,DSC,3480,32.856998,-116.622002,SAN DIEGO,US Forest Service
ALPINE,API,2041,32.834,-116.738998,SAN DIEGO,US Forest Service
SAN DIEGO NWS-LINDBERGH FIELD,SDG,13,32.733002,-117.167,SAN DIEGO,National Weather Service
SAND FLAT,SDF,6750,41.350239,-122.246529,SISKIYOU,US Bureau of Reclamation
SLATE CREEK,SLT,5700,41.04398,-122.480103,SHASTA,US Bureau of Reclamation
GIRARD,GRD,4800,41.132999,-122.282997,SHASTA,US Bureau of Reclamation
MOUNT SHASTA CITY,MSC,3590,41.317001,-122.317001,SISKIYOU,National Weather Service
MOUNT SHASTA,MTS,3545,41.314999,-122.31694,SISKIYOU,CA Dept of Water Resources/DFM-Hydro-SMN
SOUTH FORK MOUNTAIN,SHK,3450,40.657001,-122.525002,SHASTA,US Bureau of Reclamation
HIRZ,HRZ,3200,40.900002,-122.25,SHASTA,US Bureau of Reclamation
DUNSMUIR TREATMENT PLANT,DNM,2170,41.200001,-122.266998,SISKIYOU,National Weather Service
GIBSON MAINTENANCE STATION,GBS,1650,41.025002,-122.410004,SHASTA,National Weather Service
GIBSON,GIB,1633,41.022221,-122.39917,SHASTA,CA Dept of Water Resources/DFM-Hydro-SMN
WHISKEYTOWN RAWS HQ#2 NR WHISKEYTOWN 3SE,WTR,1360,40.610516,-122.527313,SHASTA,National Weather Service
WHISKEYTOWN DAM (OBSERVER),WHK,1220,40.599998,-122.550003,SHASTA,CA Dept of Forestry and Fire Protection
WHISKEYTOWN DAM (USBR),WHI,1210,40.598,-122.537003,SHASTA,US Bureau of Reclamation
LAKESHORE,LKS,1100,40.867001,-122.383003,SHASTA,US Bureau of Reclamation
SHASTA DAM (USBR),SHS,1100,40.716999,-122.417,SHASTA,US Bureau of Reclamation
SHASTA DAM (OBS),SHO,1075,40.716999,-122.417,SHASTA,US Bureau of Reclamation
SHASTA DAM (USBR),SHA,1067,40.717999,-122.419998,SHASTA,US Bureau of Reclamation
THOMES CREEK AT PASKENTA,THO,720,39.88784,-122.528564,TEHAMA,CA Dept of Water Resources/North Region Office
LAGUNA CR - FLORIN NEAR EAGLES NEST ROAD,EGN,100,38.485279,-121.260834,SACRAMENTO,Sacramento County
SACRAMENTO RIVER AT BRYTE,BRY,30,38.602001,-121.532997,YOLO,CA Dept of Water Resources
SACRAMENTO EXECUTIVE AIRPORT,SAE,21,38.506943,-121.495003,SACRAMENTO,National Weather Service
MORRISON CREEK AT MACK ROAD,MCM,13,38.478001,-121.458,SACRAMENTO,Sacramento Dept of Public Works
NORTHERN SIERRA 8-STATION PRECIP INDEX,8SI,0,39.900002,-120.900002,PLUMAS,CA Dept of Water Resources/Flood Management
STOUTS MEADOW,STM,5400,41.16914,-121.939827,SHASTA,US Bureau of Reclamation
MCCLOUD,MLD,3280,41.25,-122.133003,SHASTA,US Bureau of Reclamation
MCCLOUD DAM (PG&E),MCL,2690,41.130001,-122.070999,SHASTA,Pacific Gas & Electric
CEDAR PASS,CDP,7100,41.583,-120.303001,MODOC,Natural Resources Conservation Service
BLACKS MOUNTAIN,BLA,7050,40.76984,-121.199783,LASSEN,CA Dept of Water Resources/DFM-Hydro-SMN
MEDICINE LAKE,MED,6700,41.591389,-121.610832,SISKIYOU,US Bureau of Reclamation
ADIN MOUNTAIN,ADM,6200,41.237,-120.792,MODOC,Natural Resources Conservation Service
SNOW MOUNTAIN,SNM,5950,40.778809,-121.782677,SHASTA,US Bureau of Reclamation
ALTURAS RS,ALT,4400,41.5,-120.550003,MODOC,US Forest Service
MUCK VALLEY DIVERSION (PG&E),MVD,4300,41.014999,-121.154999,SHASTA,Pacific Gas & Electric
HILLCREST,HLC,3440,40.867001,-121.883003,SHASTA,US Bureau of Reclamation
HAT CREEK #1 PH (PG&E),HTC,3015,40.932999,-121.550003,LASSEN,Pacific Gas & Electric
PIT R PH #1,PT1,2880,41,-121.5,SHASTA,Pacific Gas & Electric
PIT #1 PH (PG&E),PR1,2880,41,-121.498001,SHASTA,Pacific Gas & Electric
PIT #3 PH (PG&E),PR3,2100,40.998001,-121.747002,SHASTA,Pacific Gas & Electric
PIT R PH #5,PT5,1460,40.983002,-121.983002,SHASTA,Pacific Gas & Electric
PIT #5 PH (PG&E),PR5,1458,40.987,-121.977997,LASSEN,Pacific Gas & Electric
HAT CK PH NO 1,HAT,3020,40.932999,-121.550003,SHASTA,Pacific Gas & Electric
SADDLE CAMP,SAD,3850,40.165279,-122.801109,TEHAMA,CA Dept of Water Resources/DFM-Hydro-SMN
COTTONWOOD CREEK NEAR BEEGUM,CTN,3400,40.317001,-122.880997,TEHAMA,US Bureau of Reclamation
OGO RANGER STATION,OGO,1300,40.422779,-122.737778,SHASTA,CA Dept of Water Resources/DFM-Hydro-SMN
DAVIS RANCH,DVR,550,40.349998,-122.449997,TEHAMA,US Bureau of Reclamation
OPENSHAW,OPS,268,39.589832,-121.635162,BUTTE,CA Dept of Forestry and Fire Protection
LOG SPRING,LGS,5100,39.833,-122.782997,TEHAMA,US Army Corps of Engineers
MINERAL,MIN,4957,40.348061,-121.609718,TEHAMA,CA Dept of Water Resources/DFM-Hydro-SMN
MINERAL (OBSERVER),MNR,4875,40.349998,-121.599998,TEHAMA,National Weather Service
SHINGLETOWN,SHI,3630,40.497501,-121.851936,SHASTA,CA Dept of Water Resources/DFM-Hydro-SMN
BATTLE RIDGE,BTR,3400,40.333,-121.75,TEHAMA,US Bureau of Reclamation
CLEAR CREEK,CLR,3300,40.639,-122.667,SHASTA,US Bureau of Reclamation
COW CREEK (USBR),CCE,2840,40.603001,-121.852997,SHASTA,US Bureau of Reclamation
KILARC PH,KLR,2650,40.682999,-121.866997,SHASTA,Pacific Gas & Electric
VOLTA PH,VLT,2200,40.466999,-121.866997,SHASTA,Pacific Gas & Electric
DIDDY WELLS,DDW,1300,40.700001,-122.099998,SHASTA,US Bureau of Reclamation
BRANDY CREEK,BDY,1300,40.617001,-122.567001,SHASTA,US Bureau of Reclamation
REDDING FIRE STATION,RFS,740,40.573601,-122.419296,SHASTA,US Bureau of Reclamation
REDDING AIRPORT,RDD,502,40.5,-122.300003,SHASTA,National Weather Service
HARRISON GULCH RS,HRR,2750,40.367001,-122.967003,SHASTA,US Forest Service
CLEAR LK HIGHLANDS (OBS),CLH,1340,38.900002,-122.599998,LAKE,National Weather Service
SACRAMENTO WB CITY,SCR,25,38.583,-121.5,SACRAMENTO,National Weather Service
SACRAMENTO POST OFFICE,SPO,25,38.583,-121.5,SACRAMENTO,National Weather Service
SACRAMENTO INTERNATIONAL AIRPORT,SMF,17,38.686001,-121.586998,SACRAMENTO,Sacramento County
DE SABLA (DWR),DES,2710,39.872002,-121.610001,BUTTE,CA Dept of Water Resources/Operations and Maintenance
DE SABLA (PG&E),DSB,2710,39.867001,-121.616997,BUTTE,Pacific Gas & Electric
PARADISE FIRE STATION,PRD,1750,39.75,-121.616997,BUTTE,National Weather Service
CHICO,CHI,230,39.712002,-121.782997,BUTTE,CA Dept of Forestry and Fire Protection
NOEL SPRING,NLS,5100,39.537998,-122.667,GLENN,US Army Corps of Engineers
ALDER SPRINGS NEAR ELK CREEK,ADS,4500,39.650002,-122.724998,GLENN,US Forest Service
ALDER SPRINGS (USACE),ALS,4500,39.650002,-122.724998,GLENN,US Army Corps of Engineers
TROUGH SPRING,TRS,4000,39.296001,-122.653999,COLUSA,US Army Corps of Engineers
EAST PARK RESERVOIR,EPK,1205,39.367001,-122.516998,COLUSA,US Bureau of Reclamation
STONY GORGE RESERVOIR,STG,800,39.583,-122.532997,GLENN,US Bureau of Reclamation
BLACK BUTTE,BLB,426,39.807999,-122.329002,TEHAMA,US Army Corps of Engineers
KETTLE ROCK,KTL,7300,40.139999,-120.714996,PLUMAS,CA Dept of Water Resources/Operations and Maintenance
GRIZZLY RIDGE,GRZ,6900,39.917,-120.644997,PLUMAS,CA Dept of Water Resources/Operations and Maintenance
JORDAN PEAK,JDP,6812,40.035999,-120.288902,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
PILOT PEAK (DWR),PLP,6800,39.785892,-120.877777,PLUMAS,CA Dept of Water Resources/Operations and Maintenance
GOLD LAKE,GOL,6750,39.674767,-120.617165,SIERRA,CA Dept of Water Resources/Operations and Maintenance
HUMBUG,HMB,6500,40.115002,-121.367996,PLUMAS,CA Dept of Water Resources/Operations and Maintenance
RATTLESNAKE,RTL,6210,40.127911,-121.043968,PLUMAS,CA Dept of Water Resources/Operations and Maintenance
HARKNESS FLAT,HRF,5946,40.406658,-121.272949,LASSEN,"Pacific Gas and Electric Company, Rogers Flat"
BUCKS LAKE,BKL,5873,39.852921,-121.25135,PLUMAS,CA Dept of Water Resources/Operations and Maintenance
LAKE DAVIS (DWR),DAV,5768,39.882999,-120.467003,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
DOYLE CROSSING,DOY,5670,40.119202,-120.483002,PLUMAS,CA Dept of Water Resources/North Region Office
FRENCHMAN DAM,FRD,5517,39.882999,-120.182999,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
THOMPSON VALLEY,TVL,5404,39.979,-120.478897,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
FOUR TREES,FOR,5202,39.812778,-121.321678,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
WESTWOOD,WWD,5150,40.306999,-120.900002,LASSEN,CA Dept of Forestry and Fire Protection
PLUMAS EUREKA ST PARK WEATHER STATION,EWS,5107,39.757778,-120.696114,PLUMAS,CA Dept of Water Resources/Flood Management
LA PORTE (DWR),LAP,4980,39.681,-120.983002,PLUMAS,CA Dept of Water Resources/Operations and Maintenance
SIERRAVILLE RS (USFS),SRR,4975,39.583,-120.366997,SIERRA,US Forest Service
SIERRAVILLE (DWR),SVL,4975,39.583,-120.366997,SIERRA,CA Dept of Water Resources/O&M Oroville Field Division
ANTELOPE LAKE,ANT,4960,40.18,-120.607002,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
VINTON,VNT,4944,39.799999,-120.182999,PLUMAS,National Weather Service
PORTOLA,PRT,4850,39.799999,-120.467003,PLUMAS,National Weather Service
CANYON DAM,CNY,4560,40.167,-121.083,PLUMAS,Pacific Gas & Electric
CHESTER,CHS,4525,40.283001,-121.233002,PLUMAS,US Forest Service
PRATTVILLE (PG&E),PVL,4520,40.209,-121.156998,PLUMAS,Pacific Gas & Electric
CASHMAN,CSH,4520,40.0019,-120.916,PLUMAS,National Park Service
STRAWBERRY VALLEY,SBY,3810,39.563999,-121.106003,YUBA,CA Dept of Water Resources/Operations and Maintenance
STRAWBERRY VALLEY,STV,3808,39.567001,-121.099998,YUBA,National Weather Service
GREENVILLE RS,GNV,3570,40.132999,-120.932999,PLUMAS,National Weather Service
GREENVILLE,GRE,3560,40.1394,-120.9412,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division
BRUSH CREEK (DWR-2),BCM,3560,39.694,-121.339996,BUTTE,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting
BRUSH CREEK (DWR),BRS,3560,39.692001,-121.338997,BUTTE,CA Dept of Water Resources/Operations and Maintenance
NELSON ST TAYLORSVILLE,TAY,3540,40.0793,-120.835701,PLUMAS,CA Dept of Water Resources/North Region Office
BRUSH CREEK RS,BCR,3520,39.689999,-121.339996,BUTTE,US Forest Service
QUINCY RANGER DISTRICT,QYR,3500,39.974998,-120.941002,PLUMAS,US Forest Service
QUINCY RS (USFS),QNC,3420,39.959999,-120.949997,PLUMAS,US Forest Service
QUINCY RADIO STATION,QRD,3420,39.9366,-120.947502,PLUMAS,National Weather Service
QUINCY (DWR),QCY,3408,39.935001,-120.949997,PLUMAS,CA Dept of Water Resources/Operations and Maintenance
CARIBOU PH,CBO,2986,40.084999,-121.150002,PLUMAS,CA Dept Water Resources and Pacific Gas and Electric
FORBESTOWN,FBS,2840,39.516998,-121.266098,BUTTE,Pacific Gas & Electric
JARBO GAP,JAR,2700,39.736,-121.488998,BUTTE,CA Dept of Forestry and Fire Protection
BUCKS CREEK PH,BKP,1760,39.917,-121.333,PLUMAS,Pacific Gas & Electric
BUCKS CREEK POWERHOUSE,BUP,1760,39.917,-121.333,PLUMAS,Pacific Gas & Electric
PARADISE,PDE,1750,39.753601,-121.624702,BUTTE,CA Dept of Water Resources/O&M Oroville Field Division
OROVILLE DAM,ORO,900,39.540001,-121.492996,BUTTE,CA Dept of Water Resources/O&M Oroville Field Division
CENT SIERRA SNOW LAB,CSL,6900,39.325001,-120.366997,NEVADA,Natural Resources Conservation Service
BOWMAN LAKE,BOL,5390,39.447693,-120.654823,NEVADA,CA Dept of Water Resources/DFM-Hydro-SMN
LAKE SPAULDING (PRECIP),SPN,5160,39.317001,-120.633003,NEVADA,Pacific Gas & Electric
LAKE SPAULDING (PG&E),LSP,5156,39.317001,-120.633003,NEVADA,Pacific Gas & Electric
ALLEGHANY,ALY,4957,39.470215,-120.874275,SIERRA,CA Dept of Water Resources/DFM-Hydro-SMN
DRUM PH FOREBAY,DMF,4750,39.25,-120.75,PLACER,Pacific Gas & Electric
SIERRA CITY,SRC,4700,39.567684,-120.653397,SIERRA,CA Dept of Water Resources/DFM-Hydro-SMN
DEER CK FOREBAY (PG&E),DRC,4455,39.299999,-120.824997,NEVADA,Pacific Gas & Electric
PIKE COUNTY,PKC,3714,39.474998,-121.202003,YUBA,US Forest Service
CHALLENGE RANGER STATION,CHL,3200,39.483002,-121.217003,YUBA,US Forest Service
DOWNIEVILLE,DNV,2920,39.558601,-120.829201,SIERRA,CA Dept of Water Resources/DFM-Hydro-SMN
DOWNIEVILLE,DWV,2915,39.5667,-120.833298,SIERRA,National Weather Service
NEVADA CITY,NVD,2781,39.25,-121.000999,NEVADA,Nevada County
CAMPTONVILLE (DWR),CAM,2755,39.451,-121.049004,YUBA,CA Dept of Water Resources/Operations and Maintenance
CAMPTONVILLE RS (USFS),CMV,2503,39.455002,-121.044998,YUBA,US Forest Service
BULLARDS BAR,BUD,2100,39.396301,-121.143898,YUBA,Yuba County Water Agency
READER RANCH,RDH,2025,39.304001,-121.116997,NEVADA,CA Dept of Forestry and Fire Protection
NEW BULLARDS BAR,BUL,1965,39.393002,-121.139999,YUBA,Yuba County Water Agency
OUR HOUSE DAM,OHD,1960,39.412106,-120.997177,YUBA,CA Dept of Water Resources/DFM-Hydro-SMN
