Station,ID,Elev,Latitude,Longitude,County,River Basin
FRENCHMAN DAM,FRD,5517,39.883,-120.183,PLUMAS,FEATHER R
FRESNO WB AIRPORT,FRO,328,36.767,-119.717,FRESNO,TULARE LAKE
FRIANT DAM,FRT,578,36.995,-119.692,FRESNO,SAN JOAQUIN R
FRIANT DAM (MILLERTON),MIL,581,37.001,-119.705,FRESNO,SAN JOAQUIN R
FRIANT DAM FK CANAL,MI2,581,37.001,-119.705,FRESNO,SAN JOAQUIN R
FRIANT DAM MADERA CANAL,MI1,581,37.001,-119.705,FRESNO,SAN JOAQUIN R
GASQUET RANGER STATION,GAS,384,41.85,-123.967,DEL NORTE,SMITH R
GEM PASS,GEM,10750,37.78,-119.17,MONO,MONO LAKE
GEORGETOWN (USBR),GTW,3250,38.925,-120.789,EL DORADO,AMERICAN R
GEORGETOWN RS (USFS),GRG,3001,38.933,-120.8,EL DORADO,AMERICAN R
GERLE LAKE,GLL,5860,39.033,-120.367,EL DORADO,AMERICAN R
GIANELLI MEADOW,GNL,8400,38.204308,-119.893188,TUOLUMNE,STANISLAUS R
GIANT FOREST (USACE),GNF,6650,36.562,-118.765,TULARE,KAWEAH R
GIBSON,GIB,1633,41.0225,-122.3992,SHASTA,SACRAMENTO R
GILMORE RANCH,GLR,220,38.045,-120.987,SAN JOAQUIN,CALAVERAS R
GIN FLAT,GIN,7050,37.767,-119.773,MARIPOSA,MERCED R
GIRARD,GRD,4800,41.133,-122.283,SHASTA,SACRAMENTO R
GLEN HELEN REGIONAL PARK,GLH,2040,34.209,-117.405,SAN BERNARDINO,LYTLE CR
GLENVILLE FS,GLV,3140,35.717,-118.7,KERN,KERN R
GOAT MOUNTAIN,GTM,4520,37.27,-119.543,MADERA,SAN JOAQUIN R
GOLD LAKE,GOL,6750,39.674783,-120.617179,SIERRA,FEATHER R
GOODWIN DAM,GDW,359,37.8628,-120.6297,CALAVERAS,STANISLAUS R
GOODWIN N MAIN (SSJ) CANAL,GDJ,359,37.875,-120.603,CALAVERAS,STANISLAUS R
GOODWIN S MAIN (OAKDALE) CANAL,GDS,359,37.875,-120.603,CALAVERAS,STANISLAUS R
GOODYEAR SLOUGH,GYS,0,38.118,-122.095,SOLANO,DELTA
GRANT GROVE,GRO,6600,36.733,-118.967,TULARE,KINGS R
GRANTLINE CANAL (USGS),GLC,10,37.8196,-121.5485,SAN JOAQUIN,SAN JOAQUIN R
GRANTLINE CANAL AT TRACY RD BRIDGE,GCT,25,37.82014465,-121.4498596,SAN JOAQUIN,SAN JOAQUIN R
GRASS VALLEY,GVY,2400,39.2056,-121.0672,NEVADA,YUBA R
GRASSHOPPER,GRS,6050,40.781666,-120.784447,LASSEN,SUSAN R
GRAVEYARD MEADOW,GRV,6900,37.465,-119.29,MADERA,SAN JOAQUIN R
GREEK STORE,GKS,5600,39.075,-120.558,PLACER,AMERICAN R
GREEN MOUNTAIN,GRM,7900,37.555,-119.238,MADERA,SAN JOAQUIN R
GREEN SPRINGS,GRN,1020,37.833,-120.5,TUOLUMNE,TUOLUMNE R
GREENVILLE,GRE,3560,40.1394,-120.9412,PLUMAS,FEATHER R
GREENVILLE RS,GNV,3570,40.133,-120.933,PLUMAS,FEATHER R
GRIZZLY RIDGE,GRZ,6900,39.917,-120.645,PLUMAS,FEATHER R
HAGANS MEADOW,HGM,8000,38.853,-119.94,EL DORADO,LAKE TAHOE
HARKNESS FLAT,HRK,6200,40.418,-121.275,LASSEN,FEATHER R
HARVEY O BANKS PUMPING P (KA000331),HBP,4,37.801944,-121.620278,CONTRA COSTA,DELTA
HARVEY O BANKS PUMPING PLANT,HRO,4,37.798,-121.623,CONTRA COSTA,DELTA
HASTINGS,HTG,1824,36.388,-121.551,MONTEREY,CARMEL R
HAT CREEK #1 PH (PG&E),HTC,3015,40.933,-121.55,LASSEN,PIT R
HAWKEYE,HKY,2000,38.727,-122.84,SONOMA,RUSSIAN R
HEAVENLY VALLEY,HVN,8800,38.929,-119.917,EL DORADO,LAKE TAHOE
HELL HOLE (PCWA),HHL,4630,39.058,-120.407,PLACER,AMERICAN R
HELL HOLE (USFS),HLH,4580,39.0717,-120.4217,PLACER,AMERICAN R
HENDRICKS CANAL,HDC,9999,39.934,-121.529,BUTTE,FEATHER R
HERNANDEZ,HDZ,3752,36.383,-120.854,SAN BENITO,SAN BENITO R
HETCH HETCHY,HTH,3870,37.95,-119.783,TUOLUMNE,TUOLUMNE R
HIDDEN DAM (HENSLEY),HID,561,37.2,-119.917,MADERA,FRESNO R
HIGHLAND LAKES,HIG,6030,41.093,-122.483,TRINITY,TRINITY R
HIGHLAND MEADOW,HHM,8700,38.48731232,-119.805748,ALPINE,MOKELUMNE R
HIGHLAND PEAK,HLD,2520,37.8145,-121.8084,CONTRA COSTA,DELTA
HILLCREST,HLC,3440,40.867,-121.883,SHASTA,PIT R
HIRZ,HRZ,3200,40.9,-122.25,SHASTA,SACRAMENTO R
HOADLEY,HDL,4580,40.683,-122.75,SHASTA,TRINITY R
HOCKETT MEADOW (USACE),HCK,8500,36.371,-118.651,TULARE,KAWEAH R
HOLLAND CUT NEAR BETHEL ISLAND,HOL,0,38.0164,-121.5819,SAN JOAQUIN,SAN JOAQUIN R
HOLLAND TRACT,HLL,0,38.008,-121.579,CONTRA COSTA,DELTA
HONEYDEW,HNY,370,40.23,-124.148,HUMBOLDT,MATTOLE R
HORSE MEADOW,HRS,8400,38.158,-119.662,TUOLUMNE,TUOLUMNE R
HORSE MEADOW (NRCS),HOR,8557,38.8365,-119.8873,ALPINE,CARSON R
HOSSACK,HSS,7100,36.181,-118.619,TULARE,TULE R
HULL MTN,HUL,6461,39.53333,-122.94833,MENDOCINO,EEL R
HUMBUG,HMB,6500,40.115,-121.368,PLUMAS,FEATHER R
HUNTINGTON LAKE (USBR),HNT,7000,37.228,-119.221,FRESNO,SAN JOAQUIN R
HUYSINK,HYS,6600,39.282,-120.527,PLACER,AMERICAN R
ICE HOUSE (SMUD),ICH,5454,38.824,-120.359,EL DORADO,AMERICAN R
INDEPENDENCE CAMP,IDC,7000,39.452588,-120.298548,SIERRA,TRUCKEE R
INDEPENDENCE CREEK,INN,6500,39.494,-120.293,SIERRA,TRUCKEE R
INDEPENDENCE LAKE (SCS),IDP,8450,39.435,-120.322,NEVADA,TRUCKEE R
INDEPENDENCE LAKE NEAR TRUCKEE,INP,6921,39.452,-120.29,SIERRA,TRUCKEE R
INDIAN VALLEY,INV,1502,39.083,-122.533,LAKE,CACHE CR
INDIAN WELLS CANYON,IWC,4000,35.685,-117.8894,KERN,MOJAVE DESERT
ISABELLA DAM,ISB,2635,35.646,-118.473,KERN,KERN R
JARBO GAP,JAR,2700,39.736,-121.489,BUTTE,FEATHER R
JAWBONE,JWB,4300,35.295,-118.226,KERN,MOJAVE DESERT
JERSEY POINT,JER,0,38.05199051,-121.6888046,CONTRA COSTA,DELTA
JERSEYDALE,JSD,3900,37.542,-119.84,MARIPOSA,MERCED R
JORDAN PEAK,JDP,6812,40.036,-120.2889,PLUMAS,FEATHER R
JUDGE F CARR PH,JCR,9999,40.647,-122.626,SHASTA,SACTO VLY WEST
JULIAN,JUL,4240,33.076,-116.591,SAN DIEGO,SAN DIEGO R
JUNCTION,JNC,4468,38.853,-120.453,EL DORADO,AMERICAN R
JUNIPER CREEK,JUC,4700,41.328,-120.467,MODOC,PIT R
KAISER POINT,KSP,9200,37.3,-119.1,FRESNO,SAN JOAQUIN R
KEENWILD,KNW,4920,33.714,-116.714,RIVERSIDE,SAN JACINTO R
KELLY RIDGE POWER PLANT,KLL,180,39.533,-121.483,BUTTE,FEATHER R
KERN CANYON PH (PG&E),KPH,570,35.433,-118.783,KERN,KERN R
KERN PH 3,KP3,2703,35.77590179,-118.436058,KERN,KERN R
KERN POWER HOUSE INTAKE,KPI,3654,35.9458,-118.47686,KERN,KERN R
KERN R INTAKE NO. 3,KR3,3650,35.95,-118.48,KERN,KERN R
KERNVILLE (USFS),KRN,2720,35.755,-118.425,KERN,KERN R
KESWICK (WATER QUALITY),KWK,596,40.60098267,-122.444458,SHASTA,SACRAMENTO R
KESWICK RESERVOIR,KES,596,40.601,-122.443,SHASTA,SACRAMENTO R
KETTLE ROCK,KTL,7300,40.14,-120.715,PLUMAS,FEATHER R
KETTLEMAN HILLS,KTT,810,36.033,-120.057,KINGS,TULARE LAKE
KLAMATH RIVER AT ORLEANS,OLS,430,41.30345917,-123.5345001,HUMBOLDT,KLAMATH R
KLAMATH RIVER NEAR KLAMATH,KNK,60,41.51095581,-123.9795151,DEL NORTE,KLAMATH R
KNOCTI RAWS (MT. KONOCTI),KTI,2163,38.9118,-122.7063,LAKE,CACHE CR
KNOXVILLE CREEK,KNO,2200,38.8619,-122.4172,LAKE,PUTAH CR
LA PANZA,LPZ,1650,35.3806,-120.1881,SAN LUIS OBISPO,SALINAS R
LA PORTE (DWR),LAP,4980,39.681,-120.983,PLUMAS,FEATHER R
LADDER BUTTE,LDB,5700,40.817,-121.317,LASSEN,PIT R
LAKE ALMANOR,ALM,4600,40.218,-121.173,PLUMAS,FEATHER R
LAKE CTY RAWS1 (COBB MT),LC1,4725,38.8064,-122.7405,LAKE,LAKE TAHOE
LAKE DAVIS (DWR),DAV,5768,39.883,-120.467,PLUMAS,FEATHER R
LAKE LOIS,LOS,8600,38.925,-120.197,EL DORADO,AMERICAN R
LAKE NATOMA (NIMBUS DAM),NAT,132,38.65,-121.183,SACRAMENTO,AMERICAN R
LAKE PALMDALE,LPA,2980,34.5372,-118.1014,LOS ANGELES,MOJAVE DESERT
LAKE PILLSBURY NR POTTER VLY 24HR AVG,LPY,1828,39.4083,-122.9583,LAKE,EEL R
LAKE SPAULDING (PG&E),LSP,5156,39.317,-120.633,NEVADA,YUBA R
LAKE VALLEY CANAL,LVC,5410,39.299,-120.642,PLACER,AMERICAN R
LAKE VALLEY RESERVOIR,LVY,5855,39.3,-120.583,PLACER,AMERICAN R
LAKESHORE,LKS,1100,40.867,-122.383,SHASTA,SACRAMENTO R
LAS TABLAS,LTB,900,35.656387,-120.924164,SAN LUIS OBISPO,SALINAS R
LAS TRAMPAS,LTR,1760,37.834,-122.067,CONTRA COSTA,EAST BAY
LASSEN LODGE,LAS,4120,40.35,-121.7,TEHAMA,SACRAMENTO R
LAURAL MOUNTAIN,LRM,4390,35.4783,-117.6992,KERN,CHINA LAKE
LAYTONVILLE,LAY,1838,39.702,-123.485,MENDOCINO,EEL R
LEAVITT LAKE,LVT,9600,38.282,-119.621,MONO,WALKER R
LEAVITT MEADOWS,LVM,7200,38.305,-119.552,MONO,WALKER R
LEO CARRILLO STATE PARK,LCL,50,34.046,-118.936,LOS ANGELES,VENTURA LA COASTAL
LEWISTON,LEW,1870,40.727,-122.793,TRINITY,TRINITY R
LINCOLN,LCN,200,38.882,-121.272,PLACER,AMERICAN R
LITTLE GRASS VALLEY,LGV,5047,39.724,-121.019,PLUMAS,FEATHER R
LITTLE TUJUNGA,LTJ,1390,34.294,-118.361,LOS ANGELES,LOS ANGELES R
LIVE OAK CANYON - LIVE OAK DAM,LVO,1510,34.134,-117.744,LOS ANGELES,LOS ANGELES R
LOBDELL LAKE,LBD,9200,38.44,-119.377,MONO,WALKER R
LODGEPOLE,LDG,6735,36.6,-118.733,TULARE,KAWEAH R
LOG SPRING,LGS,5100,39.833,-122.783,TEHAMA,SACTO VLY WEST
LOON LAKE (SMUD),LON,6410,38.983,-120.323,EL DORADO,AMERICAN R
LOS ANGELES / USC,USC,185,34.021667,-118.291389,LOS ANGELES,LOS ANGELES R
LOS BANOS (CDF),LBN,350,37.053,-121.049,MERCED,SAN JOAQUIN R
LOST HORSE,LTH,4100,34.017,-116.183,RIVERSIDE,WHITEWATER R
LOWER CRYSTAL SPRINGS,LCS,424,37.5325,-122.363,SAN MATEO,SAN MATEO CREEK
LOWER KIBBIE RIDGE,KIB,6700,38.032,-119.877,TUOLUMNE,TUOLUMNE R
LOWER LASSEN PEAK,LLP,8250,40.46660233,-121.50811,SHASTA,FEATHER R
LOWER RELIEF VALLEY,REL,8100,38.243,-119.758,TUOLUMNE,STANISLAUS R
LYONS RESERVOIR,LYS,4134,38.094,-120.166,TUOLUMNE,STANISLAUS R
LYONS VALLEY,LYO,3200,39.125,-123.071,LAKE,RUSSIAN R
LYTLE CREEK,LYC,2792,34.234,-117.48,SAN BERNARDINO,SANTA ANA R
MAD RIVER (USFS),MDF,2775,40.463,-123.524,TRINITY,MAD R
MAD RIVER NEAR ARCATA,ARC,33,40.90985107,-124.0606155,HUMBOLDT,MAD R
MAGOON,MGN,3150,37.4894,-119.8125,MARIPOSA,FRESNO R
MALIBU,MLB,1575,34.0617,-118.644,LOS ANGELES,VENTURA LA COASTAL
MALIBU CANYON,MCY,610,34.0839,-118.7033,LOS ANGELES,VENTURA LA COASTAL
MALLORY RIDGE,MLR,2040,37.817,-121.779,CONTRA COSTA,DELTA
MAMMOTH PASS (USBR),MHP,9300,37.61,-119.033,MONO,OWENS R
MANZANITA LAKE (CDF),MNZ,5750,40.543,-121.582,SHASTA,SACTO VLY NE
MAPEL RANCH,MAP,2640,36.039,-120.483,FRESNO,JACALITOS CR
MARIPOSA CREEK DAM,MAR,459,37.292,-120.147,MARIPOSA,MERCED R
MARIPOSA GROVE,MPG,6400,37.5,-119.6,MARIPOSA,MERCED R
MARIPOSA RANGER STATION,MRP,2250,37.504166,-119.986946,MARIPOSA,MERCED R
MARLETTE LAKE,MRL,8000,39.173,-119.905,State of Nevada,LAKE TAHOE
MARTINEZ,MRZ,8,38.02763748,-122.1404877,CONTRA COSTA,EAST BAY
MARTIS CREEK RESERVOIR,MRT,5745,39.327,-120.113,NEVADA,TRUCKEE R
MCCLOUD,MLD,3280,41.25,-122.133,SHASTA,MC CLOUD R
MCCLOUD DAM (PG&E),MCL,2690,41.13,-122.071,SHASTA,MC CLOUD R
MCCLOUD RIVER ABOVE SHASTA LAKE,MSS,1100,40.958,-122.219,SHASTA,MC CLOUD R
MEADOW LAKE,MDW,7200,39.40607452,-120.5062561,NEVADA,YUBA R
MEADOWBROOK (PG&E),MBR,8021,37.082,-118.863,FRESNO,KINGS R
MEANS LAKE,MNS,2900,34.391,-116.517,SAN BERNARDINO,WHITEWATER R
MEDICINE LAKE,MED,6700,41.5869,-121.6131,SISKIYOU,PIT R
MENDEZ RANCH,MDZ,322,38.062,-120.924,STANISLAUS,CALAVERAS R
MERCED R AT POHONO BR NR YOSEMITE,POH,3862,37.71687317,-119.666275,MARIPOSA,MERCED R
MERCED R NR MERCED FALLS,MRC,311,37.522,-120.331,MERCED,MERCED R
MERCED RIVER AT CRESSY,CRS,165,37.425,-120.663,MERCED,MERCED R
MERCED RIVER NEAR BRICEBURG,MBB,1150,37.5989,-119.9781,MARIPOSA,MERCED R
MERCED RIVER NEAR SNELLING,MSN,260,37.502,-120.451,MERCED,MERCED R
MERCED RIVER NEAR STEVINSON,MST,82,37.371,-120.931,MERCED,MERCED R
METCALF GAP,MCF,3300,37.41,-119.765,MADERA,FRESNO R
MF TUOLUMNE R NR OAKLAND REC CAMP,MTO,2800,37.8283,-120.1081,TUOLUMNE,TUOLUMNE R
MIDDLE BOULDER 3,MB3,6200,41.225,-122.811,SISKIYOU,SCOTT R
MIDDLE RIVER AT HOWARD ROAD BRIDGE,MHR,20,37.877,-121.384,SAN JOAQUIN,SAN JOAQUIN R
MIDDLE RIVER AT MIDDLE RIVER,MDM,10,37.943,-121.534,SAN JOAQUIN,DELTA
MIDDLE RIVER AT TRACY BLVD,MTB,20,37.881,-121.456,SAN JOAQUIN,SAN JOAQUIN R
MIDDLE YUBA RIVER BELOW OUR HOUSE DAM,ORH,1958,39.412,-120.997,YUBA,YUBA R
MILL CREEK BELOW HWY 99,MCH,230,40.04005814,-122.1046295,TEHAMA,SACRAMENTO R
MILL CREEK NEAR YUCAIPA,MLL,2950,34.083,-117.035,SAN BERNARDINO,SANTA ANA R
MILL CREEK NR LOS MOLINOS,MLM,385,40.05460358,-122.0241547,TEHAMA,SACRAMENTO R
MINER SLOUGH NEAR SACRAMENTO RIVER,MIR,5,38.236027,-121.666055,SOLANO,SACRAMENTO R
MINERAL,MIN,4957,40.348,-121.609,TEHAMA,SACTO VLY NE
MINERAL (DWR-2),MIM,4875,40.35,-121.6,TEHAMA,SACTO VLY NE
MINERAL (OBSERVER),MNR,4875,40.35,-121.6,TEHAMA,SACTO VLY NE
MIOCENE CANAL,MIC,1000,39.69,-121.56,BUTTE,FEATHER R
MITCHELL MEADOW,MTM,9900,36.737,-118.712,TULARE,KINGS R
MOCCASIN,MCN,938,37.82,-120.3,TUOLUMNE,TUOLUMNE R
MOJAVE RIVER SINK,MOJ,950,35.058,-116.083,SAN BERNARDINO,MOJAVE R
MOKELUMNE-MOKELUMNE HILL,MKM,575,38.313,-120.719,AMADOR,MOKELUMNE R
MONITOR PASS,MNT,8350,38.67,-119.615,ALPINE,CARSON R
MONTCLAIR,MOC,1208,34.094,-117.682,SAN BERNARDINO,SAN ANTONIO CR (SOUTH COAST)
MONTECITO,MTC,1500,34.46,-119.643,SANTA BARBARA,S BARBARA COAST
MONTEREY AIRPORT,MTY,217,36.590557,-121.847504,MONTEREY,CARMEL R
MORMON ROCK,MRN,3300,34.317,-117.502,SAN BERNARDINO,LYTLE CR
MOUNT ELIZABETH,MTE,4933,38.057,-120.241,TUOLUMNE,TUOLUMNE R
MOUNT ROSE SKI AREA,MSK,8900,39.326,-119.902,State of Nevada,LAKE TAHOE
MOUNT SHASTA,MTS,3545,41.313,-122.316,SISKIYOU,SACRAMENTO R
MOUNT SHASTA CITY,MSC,3590,41.317,-122.317,SISKIYOU,SACRAMENTO R
MOUNT SHASTA CITY (DWR-2),MSM,3590,41.317,-122.317,SISKIYOU,SACRAMENTO R
MOUNTAIN HOME,MNH,5400,36.242,-118.71,TULARE,TULE R
MOUNTAIN MEADOWS,MMW,5046,40.283,-121.017,LASSEN,FEATHER R
MOUNTAIN REST,MTF,4100,37.054,-119.371,FRESNO,SAN JOAQUIN R
MT SHASTA,MTA,3550,41.315,-122.317,SISKIYOU,SACRAMENTO R
MT. ZION,MTZ,2968,38.39,-120.6525,AMADOR,MOKELUMNE R
MUCK VALLEY DIVERSION (PG&E),MVD,4300,41.015,-121.155,SHASTA,PIT R
MUD SLOUGH NR GUSTINE,MSG,70,37.2625,-120.9056,MERCED,SAN JOAQUIN R
MUD SPRINGS,MUD,3400,40.717,-123.283,TRINITY,TRINITY R
MUMBO BASIN,MUM,5650,41.197,-122.523,TRINITY,TRINITY R
MURRAY CK NR SAN ANDREAS,MSA,880,38.2116,-120.6751,CALAVERAS,MOKELUMNE R
N FK CACHE CK NR CLEARLAKE OAKS 8NE,NCL,1840,39.16556,-122.61889,LAKE,CACHE CR
N FK CALAVERAS CK NR MOKELUMNE HILL,CMK,920,38.2819,-120.6701,CALAVERAS,MOKELUMNE R
N FK WILLOW CK NR SUGAR PINE,NFW,5200,37.3978,-119.5592,MADERA,SAN JOAQUIN R
NAPA RIVER NEAR NAPA,NAP,25,38.36824417,-122.3033066,NAPA,NAPA R
NAPA RIVER NEAR ST HELENA,STH,195,38.51129913,-122.4558105,NAPA,NAPA R
NATIONAL STEEL,NSL,0,38.1221,-121.8881,SOLANO,SACRAMENTO R
NATURE POINT,NTP,5150,37.342,-119.36,MADERA,SAN JOAQUIN R
NELSON ST TAYLORSVILLE,TAY,3540,40.0793,-120.8357,PLUMAS,FEATHER R
NEVADA CITY,NVD,2781,39.25,-121.001,NEVADA,YUBA R
NEW BULLARDS BAR,BUL,1965,39.393,-121.14,YUBA,YUBA R
NEW EXCHEQUER-LK MCCLURE,EXC,879,37.585,-120.27,MARIPOSA,MERCED R
NEW HOGAN LAKE,NHG,554,38.152,-120.812,CALAVERAS,CALAVERAS R
NEW HOGAN WEATHER,NHW,554,38.1508,-120.8156,CALAVERAS,CALAVERAS R
NEW MELONES,NMS,1400,37.948,-120.525,CALAVERAS,STANISLAUS R
NEW MELONES RESERVOIR,NML,1135,37.9481,-120.525,CALAVERAS,STANISLAUS R
NEWCASTLE-PINEVIEW SCHOOL,NCS,890,38.874,-121.135,PLACER,AMERICAN R
NEWHALL PASS,NHP,2135,34.3369,-118.5203,LOS ANGELES,SANTA CLARA R
NF AMERICAN R AT NORTH FORK DAM,NFD,715,38.93600845,-121.0238342,PLACER,AMERICAN R
NOEL SPRING,NLS,5100,39.538,-122.667,GLENN,STONY CR
NORTH FORK R S,NFR,2630,37.233,-119.5,MADERA,SAN JOAQUIN R
NORTH MOKELUMNE R @ W WALNUT GROVE RD,NMR,0,38.2232,-121.5071,SAN JOAQUIN,MOKELUMNE R
NORTH SAN ANDREAS,NSN,617,37.612,-122.443,SAN MATEO,SAN MATEO CREEK
NORTHERN SIERRA 8-STATION PRECIP INDEX,8SI,0,39.9,-120.9,PLUMAS,SACRAMENTO R
O&M REAL TIME MONITORING TEST STATION,OMT,13,38.5755,-121.4977,SACRAMENTO,SACRAMENTO R
O'NEILL FOREBAY @ GIANELLI PUMPING PLANT,ONG,0,37.0666,-121.0719,MERCED,SAN JOAQUIN R
OAK GROVE,OKG,2752,33.393,-116.795,SAN DIEGO,SANTA MARGARITA R
OAK KNOLL,OKK,1940,41.833,-123.833,DEL NORTE,SMITH R
OAKHURST,OKH,2360,37.3447,-119.6758,MADERA,FRESNO R
OAKLAND NORTH,ONO,1500,37.867,-122.217,ALAMEDA,EAST BAY
OAKLAND SOUTH,OSO,1000,37.7881,-122.1436,ALAMEDA,EAST BAY
OGO RANGER STATION,OGO,1300,40.423,-122.737,SHASTA,COTTONWOOD CR
OJAI,OJA,765,34.448,-119.23,VENTURA,SAN ANTONIO CR (SOUTH COAST)
OLD & MIDDLE RVRS TIDALLY FILTERED EST,OMR,10,37.97,-121.5711,SAN JOAQUIN,DELTA
OLD RIVER AT BACON ISLAND (USGS),OBI,10,37.96936798,-121.5722198,SAN JOAQUIN,DELTA
OLD RIVER AT CONEY ISLAND,CIS,5,37.84589386,-121.5379715,SAN JOAQUIN,SAN JOAQUIN R
OLD RIVER AT DELTA MENDOTA CANAL,ODM,10,37.8102951,-121.5421448,SAN JOAQUIN,DELTA
OLD RIVER AT FRANKS TRACT NEAR TERMINOUS,OSJ,0,38.0711,-121.5789,SAN JOAQUIN,DELTA
OLD RIVER AT HEAD,OH1,15,37.80755234,-121.3312531,SAN JOAQUIN,SAN JOAQUIN R
OLD RIVER NEAR DMC ABOVE DAM,OAD,4,37.81032181,-121.5421066,SAN JOAQUIN,SAN JOAQUIN R
OLD RIVER NEAR DMC BELOW DAM,OBD,4,37.81096268,-121.5439377,SAN JOAQUIN,SAN JOAQUIN R
OLD RIVER NEAR TRACY,OLD,5,37.80480957,-121.4495621,SAN JOAQUIN,DELTA
OREGON CREEK BELOW LOG CABIN,LCB,1913,39.445,-121.058,YUBA,YUBA R
ORESTIMBA CK AT RIVER RD NR CROWS LNDG,OCL,65,37.41354752,-121.0160446,STANISLAUS,SAN JOAQUIN R
OROVILLE 8 STATION WETNESS INDEX,O8I,6000,39.623,-120.678,SIERRA,FEATHER R
OROVILLE DAM,ORO,900,39.54,-121.493,BUTTE,FEATHER R
OROVILLE DAM SPILLWAY WEATHER STATION,OWS,880,39.543,-121.491,BUTTE,FEATHER R
OSTRANDER LAKE,STR,8200,37.637,-119.55,MARIPOSA,MERCED R
OUR HOUSE DAM,OHD,1960,39.412,-120.9964,YUBA,YUBA R
OWENS CREEK DAM,OWN,424,37.282,-120.187,MARIPOSA,MERCED R
OWENS VALLEY,OVC,4640,37.39,-118.55,INYO,OWENS R
OZENA,OZN,3670,34.682,-119.354,VENTURA,CUYAMA R
PACHECO PUMPING PLANT (SLR00000),PPP,548,37.0619,-121.1806,MERCED,SAN JOAQUIN R
PACIFIC HOUSE,PFH,3440,38.76,-120.5,EL DORADO,AMERICAN R
PACIFIC HOUSE (DWR-2),PHM,3400,38.765,-120.5,EL DORADO,AMERICAN R
PACIFIC HOUSE (OBSERVER),PCF,3400,38.765,-120.5,EL DORADO,AMERICAN R
PAJARO RIVER AT CHITTENDEN,CHT,82,36.90023041,-121.5977249,SANTA CRUZ,PAJARO R
PALM SPRINGS AIRPORT,PLM,474,33.822224,-116.503609,RIVERSIDE,WHITEWATER R
PANAMINT,PAN,6880,36.117,-117.083,INYO,AMARGOSA R
PARADISE,PDE,1750,39.7536,-121.6247,BUTTE,FEATHER R
PARADISE MEADOW,PDS,7650,38.047,-119.67,TUOLUMNE,TUOLUMNE R
PARDEE,PAR,568,38.25,-120.85,CALAVERAS,MOKELUMNE R
PARKFIELD,PKF,1535,35.899,-120.432,MONTEREY,SALINAS R
PARROT DIV FROM BUTTE CREEK,BPD,269,39.70890427,-121.7541885,BUTTE,BUTTE CR
PASCOES,PSC,9150,35.967,-118.35,TULARE,KERN R
PASO ROBLES AIRPORT,PSB,836,35.673054,-120.626114,SAN LUIS OBISPO,SALINAS R
PATTERSON MTN REPEATER,PMR,8140,36.9564,-119.0508,FRESNO,KINGS R
PECKINPAH,PCK,5150,37.25,-119.458,MADERA,SAN JOAQUIN R
PERRIS,PRR,1600,33.858,-117.183,RIVERSIDE,SAN JACINTO R
PERRY RANCH,PRY,315,38.149,-120.922,CALAVERAS,CALAVERAS R
PETERSON FLAT,PET,7150,41.3023,-122.5277,TRINITY,TRINITY R
PIKE COUNTY,PKC,3714,39.475,-121.202,YUBA,YUBA R
PILARCITOS DAM,PLD,700,37.548,-122.422,SAN MATEO,SAN MATEO CREEK
PILOT PEAK (DWR),PLP,6800,39.78589249,-120.8777771,PLUMAS,FEATHER R
PINE FLAT DAM,PNF,970,36.833,-119.325,FRESNO,KINGS R
PINE FLAT WEATHER,PFW,610,36.8236,-119.3369,FRESNO,KINGS R
PINECREST (PG&E),PCR,5600,38.2,-119.983,TUOLUMNE,STANISLAUS R
PINEHURST,PNT,4060,36.68528,-119,FRESNO,KINGS R
PIRU,PIU,624,34.404,-118.81,VENTURA,SANTA CLARA R
PIT #1 PH (PG&E),PR1,2880,41,-121.498,SHASTA,PIT R
PIT #3 PH (PG&E),PR3,2100,40.998,-121.747,SHASTA,PIT R
PIT #5 PH (PG&E),PR5,1458,40.987,-121.978,LASSEN,PIT R
PIT RIVER NEAR CANBY,PCN,4266,41.40600204,-120.927742,MODOC,PIT R
PITTSBURG,PTS,10,38.033,-121.883,CONTRA COSTA,DELTA
PIUTES FS,PTE,6440,35.4456,-118.2789,KERN,MOJAVE DESERT
PLACERVILLE,PCV,1850,38.7,-120.82,EL DORADO,AMERICAN R
PLACERVILLE WEATHER STATION,PWS,1858,38.69543,-120.8243,EL DORADO,AMERICAN R
PLUMAS EUREKA ST PARK WEATHER STATION,EWS,5107,39.75778,-120.69611,PLUMAS,FEATHER R
POISON FLAT,PSN,7900,38.501,-119.631,ALPINE,CARSON R
POISON RIDGE,PSR,6900,37.403,-119.52,MADERA,SAN JOAQUIN R
PORT CHICAGO,PCT,0,38.059,-122.025,CONTRA COSTA,DELTA
PORTOLA,PRT,4850,39.8,-120.467,PLUMAS,FEATHER R
POTRERO,POT,2350,32.605,-116.609,SAN DIEGO,SWEETWATER R
POTTER VALLEY,PTV,1080,39.3644,-123.1272,MENDOCINO,RUSSIAN R
POTTER VALLEY PG&E - 24HR AVG,PVY,1080,39.362,-123.127,MENDOCINO,RUSSIAN R
POTTER VALLEY PH,PVP,1020,39.367,-123.133,MENDOCINO,RUSSIAN R
POVERTY,POV,2066,37.443056,-121.770556,SANTA CLARA,ALAMEDA CR
PRADO DAM,PRA,566,33.89,-117.643,RIVERSIDE,SANTA ANA R
PRATTVILLE (PG&E),PVL,4520,40.209,-121.157,PLUMAS,FEATHER R
